id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
TvjeY9RCR2U,Mercedes EVs are getting BIG Updates!,The new Mercedes-Benz CLA EV is bringing some promising updates...,2025-04-22T19:06:52Z,,2,en,en,https://i.ytimg.com/vi/TvjeY9RCR2U/default.jpg,https://i.ytimg.com/vi/TvjeY9RCR2U/hqdefault.jpg,PT55S,1106285,28431,793,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
990N9TgwB4Y,The Cheapest 600HP EV...,"A review of the Chevy Blazer EV SS. The SS should stand for Sensible Sport...

Shot on Oppo Find X8 Ultra & iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-04-22T13:00:14Z,,2,en,en,https://i.ytimg.com/vi/990N9TgwB4Y/default.jpg,https://i.ytimg.com/vi/990N9TgwB4Y/hqdefault.jpg,PT9M33S,418998,13606,1465,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
YiSjEU0RImU,The Weirdest Automatic Transmission...,"Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-04-09T18:00:33Z,,2,en,en,https://i.ytimg.com/vi/YiSjEU0RImU/default.jpg,https://i.ytimg.com/vi/YiSjEU0RImU/hqdefault.jpg,PT43S,594189,9689,390,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
62SkmzQ85Ks,Polestar 1: The Most Interesting Car in the World,"Thanks Denvix for sponsoring this video! Get a new portable tire inflator and battery bank at:  Amazon store: https://bit.ly/4jozexA
Denvix website: use code MARQUES30 for a $30 discount https://bit.ly/4ckoWfv

Thanks to owner for providing this Polestar 1 for review.

If you want buy THIS Polestar 1: https://jsautohaus.com/inventory/Used-2021-Polestar-1-Base-LPSBE0YL0MB001127

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-04-08T15:31:58Z,,2,en,en,https://i.ytimg.com/vi/62SkmzQ85Ks/default.jpg,https://i.ytimg.com/vi/62SkmzQ85Ks/hqdefault.jpg,PT14M2S,1041089,27682,2147,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
DL8lzJDOyzo,This Car is also a Boat (Literally),"The Sherp N is WILD.

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-04-02T19:43:01Z,,2,en,en,https://i.ytimg.com/vi/DL8lzJDOyzo/default.jpg,https://i.ytimg.com/vi/DL8lzJDOyzo/hqdefault.jpg,PT1M,2885736,51610,566,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
Pg8Yi6x2Pwk,"Volvo EX90 - Rolls Royce Luxury, Model X Price!","The Volvo EX90 is a luxury sleeper hit!

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-03-31T17:53:31Z,,2,en,en,https://i.ytimg.com/vi/Pg8Yi6x2Pwk/default.jpg,https://i.ytimg.com/vi/Pg8Yi6x2Pwk/hqdefault.jpg,PT12M9S,2021962,45257,3043,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
Az6nemkRB1Y,Reviewing my First Car: Toyota Camry Hybrid!,"My first car has come a lonnnggg way.

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-03-19T14:34:36Z,,2,en,en,https://i.ytimg.com/vi/Az6nemkRB1Y/default.jpg,https://i.ytimg.com/vi/Az6nemkRB1Y/hqdefault.jpg,PT11M20S,1209114,31821,1950,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
no5X9k23xzQ,Dodge Charger Daytona EV is a Fratzonic Flop,"Not exactly the quietest EV...

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-03-11T17:45:17Z,,2,en,en,https://i.ytimg.com/vi/no5X9k23xzQ/default.jpg,https://i.ytimg.com/vi/no5X9k23xzQ/hqdefault.jpg,PT14M2S,1484648,39978,8178,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
Xe_Hfxk-iTM,Reviewing my Daily Driver | 911 Turbo S,"The 15,000-mile review of my Porsche 911 Turbo S

My Dashcam: https://amzn.to/43jAxJe

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-03-05T21:20:13Z,,2,en,en,https://i.ytimg.com/vi/Xe_Hfxk-iTM/default.jpg,https://i.ytimg.com/vi/Xe_Hfxk-iTM/hqdefault.jpg,PT16M37S,1806350,58392,3441,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
frPvUIchc9s,Rivian Gen 2 Refresh - It's the Little Things,"Rivian does the mid-cycle refresh thing pretty well.

Shot on iPhone 16 Pro Max
Hollyland Lark M2 Wireless Microphone: https://geni.us/jfBMTG",2025-02-14T18:39:10Z,,2,en,en,https://i.ytimg.com/vi/frPvUIchc9s/default.jpg,https://i.ytimg.com/vi/frPvUIchc9s/hqdefault.jpg,PT14M32S,859369,24429,1191,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
